Time_ms,V1
449,1.733
706,1.769
912,1.735
917,1.729
921,1.771
925,1.737
929,1.735
933,1.788
937,1.733
941,1.704
945,1.828
949,1.721
953,1.742
957,1.769
961,1.72
965,1.735
969,1.729
973,1.722
977,1.743
981,1.687
985,1.732
989,1.786
993,1.703
997,1.753
1001,1.745
1005,1.735
1009,1.752
1013,1.747
1016,1.737
1020,1.752
1024,1.767
1028,1.709
1032,1.739
1040,1.706
1045,1.754
1050,1.808
1054,1.732
1057,1.709
1061,1.766
1065,1.725
1069,1.769
1073,1.799
1077,1.728
1081,1.752
1085,1.729
1089,1.706
1092,1.764
1096,1.702
1100,1.755
1103,1.704
1107,1.772
1111,1.733
1115,1.764
1118,1.778
1122,1.691
1126,1.805
1129,1.707
1133,1.683
1137,1.772
1141,1.7
1144,1.75
1148,1.804
1152,1.687
1156,1.744
1165,1.732
1170,1.77
1174,1.791
1178,1.744
1182,1.756
1186,1.75
1190,1.736
1194,1.782
1198,1.749
1202,1.743
1206,1.735
1210,1.764
1214,1.801
1218,1.746
1222,1.756
1226,1.704
1230,1.73
1234,1.749
1238,1.745
1242,1.719
1246,1.725
1250,1.766
1254,1.689
1258,1.752
1262,1.715
1266,1.75
1270,1.729
1275,1.767
1279,1.718
1283,1.712
1287,1.731
1296,1.762
1301,1.734
1305,1.725
1309,1.75
1313,1.791
1317,1.711
1321,1.748
1325,1.731
1329,1.747
1333,1.747
1337,1.735
1341,1.749
1345,1.768
1349,1.741
1353,1.725
1357,1.721
1361,1.737
1365,1.734
1369,1.716
1373,1.705
1377,1.751
1381,1.716
1385,1.693
1389,1.771
1393,1.687
1397,1.749
1401,1.755
1405,1.75
1409,1.755
1413,1.787
1417,1.729
1426,1.76
1431,1.777
1435,1.757
1439,1.762
1443,1.728
1447,1.811
1451,1.807
1455,1.728
1459,1.753
1463,1.782
1467,1.73
1471,1.723
1475,1.787
1480,1.792
1484,1.741
1488,1.721
1492,1.731
1496,1.736
1500,1.775
1504,1.709
1508,1.733
1512,1.721
1516,1.748
1520,1.758
1524,1.755
1528,1.718
1532,1.704
1536,1.763
1541,1.73
1545,1.751
1549,1.748
1558,1.745
1563,1.756
1567,1.736
1571,1.79
1575,1.743
1579,1.742
1583,1.765
1587,1.7
1591,1.769
1594,1.766
1598,1.722
1602,1.742
1606,1.744
1609,1.752
1614,1.737
1617,1.723
1621,1.732
1625,1.711
1629,1.767
1632,1.737
1636,1.743
1640,1.775
1644,1.666
1651,1.741
1655,1.743
1659,1.706
1662,1.741
1666,1.672
1670,1.743
1674,1.763
1680,1.736
1684,1.738
1688,1.751
1691,1.763
1695,1.699
1699,1.779
1703,1.754
1706,1.736
1710,1.753
1714,1.775
1718,1.764
1722,1.761
1726,1.752
1730,1.737
1734,1.718
1738,1.777
1742,1.743
1746,1.734
1750,1.76
1754,1.67
1758,1.734
1762,1.742
1766,1.706
1771,1.77
1775,1.701
1778,1.77
1783,1.737
1787,1.805
1791,1.708
1795,1.77
1799,1.758
1807,1.766
1812,1.709
1816,1.743
1820,1.739
1824,1.766
1828,1.672
1832,1.756
1836,1.743
1840,1.747
1844,1.708
1848,1.733
1852,1.725
1856,1.742
1860,1.806
1864,1.708
1868,1.722
1872,1.808
1877,1.757
1880,1.766
1885,1.775
1889,1.752
1893,1.708
1897,1.792
1901,1.789
1905,1.747
1909,1.71
1913,1.733
1917,1.747
1921,1.784
1925,1.708
1929,1.712
1939,1.751
1944,1.721
1948,1.779
1951,1.784
1955,1.75
1960,1.729
1964,1.701
1967,1.725
1972,1.732
1976,1.721
1980,1.758
1984,1.772
1988,1.738
1992,1.712
1996,1.74
1999,1.704
2004,1.736
2008,1.708
2012,1.766
2016,1.756
2020,1.719
2024,1.746
2028,1.78
2032,1.738
2036,1.756
2040,1.763
2044,1.726
2048,1.721
2052,1.766
2057,1.756
2061,1.734
2070,1.775
2075,1.766
2079,1.693
2083,1.743
2087,1.745
2091,1.727
2095,1.795
2099,1.746
2103,1.735
2107,1.771
2112,1.726
2116,1.754
2119,1.758
2124,1.689
2128,1.714
2132,1.75
2136,1.742
2140,1.715
2144,1.812
2148,1.736
2152,1.748
2156,1.812
2160,1.731
2164,1.739
2167,1.774
2172,1.696
2176,1.762
2179,1.763
2183,1.735
2187,1.759
2191,1.754
2201,1.773
2205,1.709
2209,1.747
2213,1.767
2217,1.761
2220,1.729
2225,1.818
2228,1.778
2232,1.745
2236,1.755
2240,1.733
2243,1.707
2247,1.751
2251,1.799
2254,1.741
2258,1.762
2262,1.785
2265,1.732
2269,1.744
2273,1.787
2277,1.738
2280,1.704
2284,1.778
2288,1.725
2292,1.719
2296,1.745
2300,1.767
2304,1.689
2308,1.716
2312,1.783
2316,1.734
2325,1.743
2329,1.762
2333,1.696
2338,1.747
2341,1.796
2345,1.727
2349,1.771
2353,1.771
2357,1.696
2361,1.741
2365,1.788
2369,1.732
2373,1.791
2377,1.796
2381,1.687
2385,1.745
2389,1.732
2393,1.759
2397,1.755
2401,1.742
2405,1.744
2409,1.788
2413,1.75
2417,1.758
2421,1.753
2425,1.721
2429,1.745
2433,1.796
2437,1.746
2441,1.754
2445,1.787
2454,1.721
2459,1.783
2463,1.721
2467,1.759
2471,1.809
2475,1.729
2479,1.747
2483,1.748
2487,1.754
2491,1.744
2495,1.762
2499,1.733
2503,1.708
2506,1.748
2510,1.744
2514,1.715
2518,1.695
2522,1.75
2526,1.727
2530,1.707
2534,1.75
2538,1.731
2542,1.708
2546,1.704
2550,1.799
2554,1.729
2558,1.778
2562,1.707
2566,1.759
2570,1.753
2574,1.692
2583,1.706
2588,1.729
2592,1.701
2596,1.766
2600,1.758
2604,1.752
2608,1.737
2612,1.771
2616,1.75
2620,1.74
2624,1.743
2628,1.77
2632,1.742
2636,1.765
2640,1.702
2644,1.708
2648,1.779
2652,1.764
2656,1.745
2659,1.712
2663,1.749
2668,1.729
2672,1.775
2675,1.737
2679,1.767
2683,1.717
2687,1.779
2691,1.738
2695,1.766
2699,1.71
2703,1.756
2713,1.771
2717,1.713
2721,1.789
2724,1.718
2728,1.735
2732,1.776
2736,1.769
2739,1.784
2743,1.745
2747,1.736
2750,1.706
2754,1.706
2758,1.762
2761,1.746
2765,1.696
2769,1.741
2773,1.779
2776,1.725
2780,1.773
2784,1.716
2788,1.714
2792,1.729
2795,1.716
2799,1.754
2803,1.754
2807,1.758
2810,1.741
2814,1.724
2818,1.727
2822,1.745
2825,1.754
2834,1.765
2839,1.703
2842,1.793
2846,1.712
2850,1.715
2854,1.751
2858,1.716
2862,1.745
2866,1.767
2870,1.742
2874,1.752
2878,1.721
2882,1.719
2886,1.771
2890,1.782
2894,1.78
2898,1.704
2902,1.746
2906,1.741
2910,1.741
2914,1.779
2918,1.704
2922,1.73
2926,1.747
2930,1.721
2934,1.704
2939,1.742
2943,1.726
2947,1.742
2950,1.723
2955,1.772
2964,1.662
2969,1.762
2973,1.755
2977,1.808
2981,1.735
2985,1.74
2989,1.716
2993,1.734
2997,1.739
3001,1.721
3005,1.687
3009,1.816
3013,1.756
3017,1.734
3021,1.754
3025,1.716
3029,1.788
3033,1.75
3037,1.776
3041,1.728
3045,1.783
3049,1.718
3053,1.733
3057,1.736
3062,1.727
3065,1.766
3069,1.694
3074,1.756
3078,1.745
3082,1.733
3085,1.775
3095,1.738
3100,1.772
3104,1.774
3108,1.733
3112,1.742
3116,1.71
3120,1.729
3124,1.737
3128,1.678
3132,1.807
3136,1.726
3140,1.712
3144,1.796
3148,1.771
3152,1.727
3156,1.728
3160,1.766
3164,1.736
3168,1.715
3172,1.729
3176,1.799
3180,1.736
3184,1.749
3188,1.808
3192,1.767
3197,1.724
3201,1.755
3205,1.696
3209,1.721
3213,1.771
3217,1.725
3227,1.748
3232,1.765
3236,1.705
3240,1.778
3244,1.721
3248,1.758
3252,1.725
3256,1.764
3260,1.741
3265,1.731
3269,1.766
3273,1.708
3277,1.732
3281,1.732
3285,1.761
3289,1.715
3293,1.75
3297,1.737
3301,1.745
3305,1.726
3309,1.751
3313,1.736
3317,1.762
3321,1.763
3325,1.737
3329,1.76
3333,1.741
3337,1.716
3341,1.715
3345,1.745
3349,1.735
3370,1.744
3418,1.812
3422,1.727
3426,1.735
3429,1.74
3433,1.721
3437,1.78
3441,1.729
3445,1.73
3449,1.775
3453,1.687
3456,1.74
3460,1.748
3464,1.722
3468,1.758
3472,1.719
3476,1.737
3480,1.759
3484,1.736
3488,1.755
3492,1.727
3496,1.712
3500,1.797
3504,1.692
3509,1.745
3513,1.783
3517,1.711
3521,1.706
3525,1.747
3529,1.716
3533,1.741
3537,1.76
3548,1.688
3552,1.785
3556,1.741
3560,1.783
3564,1.699
3568,1.729
3572,1.686
3577,1.804
3581,1.696
3585,1.747
3589,1.75
3593,1.704
3597,1.735
3601,1.717
