Time_ms,V1
449,1.729
706,1.73
912,1.71
917,1.724
921,1.766
925,1.748
929,1.809
933,1.729
937,1.73
941,1.704
945,1.731
949,1.748
953,1.743
957,1.722
961,1.728
965,1.779
969,1.743
973,1.785
977,1.784
981,1.757
985,1.724
989,1.75
993,1.736
997,1.761
1001,1.767
1005,1.708
1009,1.808
1013,1.783
1016,1.719
1020,1.77
1024,1.75
1028,1.773
1032,1.713
1040,1.742
1045,1.72
1050,1.754
1054,1.681
1057,1.709
1061,1.733
1065,1.821
1069,1.676
1073,1.832
1077,1.793
1081,1.71
1085,1.775
1089,1.733
1092,1.769
1096,1.749
1100,1.721
1103,1.776
1107,1.701
1111,1.766
1115,1.735
1118,1.722
1122,1.742
1126,1.777
1129,1.756
1133,1.804
1137,1.763
1141,1.683
1144,1.77
1148,1.752
1152,1.743
1156,1.778
1165,1.746
1170,1.717
1174,1.75
1178,1.786
1182,1.714
1186,1.764
1190,1.752
1194,1.722
1198,1.747
1202,1.745
1206,1.753
1210,1.756
1214,1.788
1218,1.75
1222,1.703
1226,1.736
1230,1.754
1234,1.809
1238,1.85
1242,1.745
1246,1.792
1250,1.755
1254,1.718
1258,1.687
1262,1.732
1266,1.7
1270,1.765
1275,1.787
1279,1.762
1283,1.796
1287,1.759
1296,1.8
1301,1.755
1305,1.734
1309,1.777
1313,1.778
1317,1.698
1321,1.779
1325,1.746
1329,1.74
1333,1.766
1337,1.81
1341,1.698
1345,1.76
1349,1.7
1353,1.708
1357,1.795
1361,1.741
1365,1.746
1369,1.85
1373,1.728
1377,1.76
1381,1.78
1385,1.721
1389,1.731
1393,1.759
1397,1.75
1401,1.72
1405,1.672
1409,1.783
1413,1.705
1417,1.774
1426,1.744
1431,1.764
1435,1.69
1439,1.753
1443,1.732
1447,1.745
1451,1.74
1455,1.789
1459,1.729
1463,1.722
1467,1.753
1471,1.796
1475,1.759
1480,1.751
1484,1.682
1488,1.733
1492,1.808
1496,1.747
1500,1.822
1504,1.743
1508,1.741
1512,1.747
1516,1.742
1520,1.759
1524,1.717
1528,1.725
1532,1.762
1536,1.67
1541,1.704
1545,1.724
1549,1.704
1558,1.748
1563,1.703
1567,1.774
1571,1.818
1575,1.66
1579,1.705
1583,1.75
1587,1.783
1591,1.717
1594,1.729
1598,1.761
1602,1.754
1606,1.772
1609,1.733
1614,1.684
1617,1.716
1621,1.773
1625,1.775
1629,1.727
1632,1.696
1636,1.716
1640,1.766
1644,1.73
1651,1.743
1655,1.741
1659,1.761
1662,1.752
1666,1.734
1670,1.768
1674,1.771
1680,1.775
1684,1.741
1688,1.786
1691,1.728
1695,1.716
1699,1.758
1703,1.701
1706,1.737
1710,1.733
1714,1.793
1718,1.76
1722,1.755
1726,1.754
1730,1.725
1734,1.703
1738,1.74
1742,1.695
1746,1.737
1750,1.745
1754,1.714
1758,1.705
1762,1.716
1766,1.795
1771,1.749
1775,1.743
1778,1.712
1783,1.726
1787,1.677
1791,1.68
1795,1.704
1799,1.724
1807,1.718
1812,1.745
1816,1.743
1820,1.773
1824,1.762
1828,1.783
1832,1.725
1836,1.702
1840,1.684
1844,1.744
1848,1.727
1852,1.737
1856,1.758
1860,1.738
1864,1.783
1868,1.693
1872,1.674
1877,1.779
1880,1.755
1885,1.712
1889,1.726
1893,1.725
1897,1.749
1901,1.766
1905,1.746
1909,1.687
1913,1.733
1917,1.735
1921,1.732
1925,1.687
1929,1.723
1939,1.758
1944,1.85
1948,1.781
1951,1.729
1955,1.755
1960,1.744
1964,1.733
1967,1.754
1972,1.808
1976,1.85
1980,1.758
1984,1.795
1988,1.737
1992,1.742
1996,1.785
1999,1.78
2004,1.738
2008,1.752
2012,1.777
2016,1.709
2020,1.729
2024,1.745
2028,1.756
2032,1.726
2036,1.792
2040,1.786
2044,1.766
2048,1.797
2052,1.819
2057,1.749
2061,1.764
2070,1.793
2075,1.748
2079,1.658
2083,1.775
2087,1.758
2091,1.725
2095,1.705
2099,1.762
2103,1.763
2107,1.739
2112,1.72
2116,1.739
2119,1.762
2124,1.809
2128,1.768
2132,1.685
2136,1.712
2140,1.796
2144,1.706
2148,1.7
2152,1.725
2156,1.799
2160,1.751
2164,1.758
2167,1.733
2172,1.68
2176,1.744
2179,1.752
2183,1.757
2187,1.704
2191,1.658
2201,1.709
2205,1.756
2209,1.686
2213,1.69
2217,1.775
2220,1.732
2225,1.813
2228,1.768
2232,1.688
2236,1.741
2240,1.724
2243,1.74
2247,1.77
2251,1.698
2254,1.733
2258,1.727
2262,1.694
2265,1.73
2269,1.786
2273,1.712
2277,1.777
2280,1.731
2284,1.721
2288,1.721
2292,1.658
2296,1.709
2300,1.749
2304,1.76
2308,1.773
2312,1.747
2316,1.805
2325,1.71
2329,1.79
2333,1.768
2338,1.715
2341,1.779
2345,1.698
2349,1.789
2353,1.711
2357,1.782
2361,1.753
2365,1.772
2369,1.762
2373,1.775
2377,1.713
2381,1.734
2385,1.763
2389,1.766
2393,1.733
2397,1.734
2401,1.744
2405,1.769
2409,1.702
2413,1.721
2417,1.741
2421,1.755
2425,1.708
2429,1.733
2433,1.77
2437,1.701
2441,1.695
2445,1.708
2454,1.741
2459,1.758
2463,1.72
2467,1.736
2471,1.752
2475,1.752
2479,1.702
2483,1.732
2487,1.722
2491,1.709
2495,1.769
2499,1.773
2503,1.756
2506,1.807
2510,1.803
2514,1.75
2518,1.77
2522,1.768
2526,1.703
2530,1.722
2534,1.687
2538,1.675
2542,1.758
2546,1.743
2550,1.714
2554,1.712
2558,1.785
2562,1.741
2566,1.793
2570,1.745
2574,1.754
2583,1.725
2588,1.729
2592,1.708
2596,1.723
2600,1.749
2604,1.673
2608,1.709
2612,1.721
2616,1.747
2620,1.771
2624,1.775
2628,1.724
2632,1.756
2636,1.746
2640,1.727
2644,1.741
2648,1.676
2652,1.77
2656,1.723
2659,1.721
2663,1.758
2668,1.763
2672,1.733
2675,1.747
2679,1.805
2683,1.725
2687,1.711
2691,1.742
2695,1.629
2699,1.719
2703,1.688
2713,1.739
2717,1.646
2721,1.68
2724,1.777
2728,1.742
2732,1.724
2736,1.716
2739,1.787
2743,1.757
2747,1.725
2750,1.709
2754,1.721
2758,1.795
2761,1.775
2765,1.679
2769,1.738
2773,1.809
2776,1.745
2780,1.765
2784,1.754
2788,1.702
2792,1.71
2795,1.741
2799,1.761
2803,1.705
2807,1.738
2810,1.749
2814,1.682
2818,1.735
2822,1.727
2825,1.774
2834,1.73
2839,1.75
2842,1.808
2846,1.749
2850,1.759
2854,1.751
2858,1.762
2862,1.725
2866,1.711
2870,1.735
2874,1.748
2878,1.73
2882,1.721
2886,1.777
2890,1.741
2894,1.77
2898,1.752
2902,1.75
2906,1.702
2910,1.75
2914,1.725
2918,1.726
2922,1.741
2926,1.706
2930,1.724
2934,1.721
2939,1.758
2943,1.726
2947,1.774
2950,1.77
2955,1.771
2964,1.748
2969,1.721
2973,1.761
2977,1.727
2981,1.773
2985,1.657
2989,1.723
2993,1.736
2997,1.761
3001,1.716
3005,1.739
3009,1.733
3013,1.692
3017,1.792
3021,1.741
3025,1.693
3029,1.715
3033,1.75
3037,1.881
3041,1.777
3045,1.779
3049,1.728
3053,1.733
3057,1.687
3062,1.731
3065,1.737
3069,1.736
3074,1.75
3078,1.824
3082,1.769
3085,1.72
3095,1.804
3100,1.808
3104,1.739
3108,1.791
3112,1.758
3116,1.736
3120,1.731
3124,1.712
3128,1.75
3132,1.741
3136,1.735
3140,1.689
3144,1.779
3148,1.709
3152,1.708
3156,1.717
3160,1.751
3164,1.769
3168,1.734
3172,1.703
3176,1.723
3180,1.75
3184,1.817
3188,1.758
3192,1.794
3197,1.816
3201,1.798
3205,1.779
3209,1.772
3213,1.741
3217,1.719
3227,1.77
3232,1.79
3236,1.798
3240,1.787
3244,1.793
3248,1.757
3252,1.798
3256,1.733
3260,1.733
3265,1.744
3269,1.708
3273,1.751
3277,1.762
3281,1.681
3285,1.727
3289,1.72
3293,1.739
3297,1.75
3301,1.763
3305,1.732
3309,1.725
3313,1.722
3317,1.75
3321,1.767
3325,1.768
3329,1.671
3333,1.718
3337,1.766
3341,1.658
3345,1.739
3349,1.806
3370,1.725
3418,1.799
3422,1.783
3426,1.691
3429,1.75
3433,1.683
3437,1.721
3441,1.781
3445,1.699
3449,1.731
3453,1.775
3456,1.77
3460,1.787
3464,1.723
3468,1.723
3472,1.743
3476,1.758
3480,1.715
3484,1.754
3488,1.729
3492,1.741
3496,1.745
3500,1.75
3504,1.723
3509,1.712
3513,1.747
3517,1.701
3521,1.753
3525,1.765
3529,1.707
3533,1.73
3537,1.721
3548,1.741
3552,1.742
3556,1.723
3560,1.704
3564,1.743
3568,1.795
3572,1.742
3577,1.739
3581,1.744
3585,1.685
3589,1.738
3593,1.804
3597,1.781
3601,1.721
3605,1.721
