Time_ms,V1
449,1.736
706,1.745
912,1.718
917,1.753
921,1.729
925,1.73
929,1.757
933,1.739
937,1.718
941,1.745
945,1.755
949,1.746
953,1.724
957,1.784
961,1.741
965,1.724
969,1.737
973,1.766
977,1.731
981,1.735
985,1.724
989,1.773
993,1.729
997,1.734
1001,1.752
1005,1.753
1009,1.725
1013,1.731
1016,1.768
1020,1.739
1024,1.717
1028,1.743
1032,1.754
1040,1.746
1045,1.734
1050,1.741
1054,1.733
1057,1.768
1061,1.729
1065,1.72
1069,1.729
1073,1.754
1077,1.721
1081,1.764
1085,1.75
1089,1.725
1092,1.741
1096,1.764
1100,1.74
1103,1.737
1107,1.734
1111,1.746
1115,1.742
1118,1.74
1122,1.737
1126,1.736
1129,1.721
1133,1.743
1137,1.745
1141,1.743
1144,1.736
1148,1.735
1152,1.744
1156,1.733
1165,1.755
1170,1.738
1174,1.763
1178,1.752
1182,1.747
1186,1.712
1190,1.745
1194,1.764
1198,1.737
1202,1.726
1206,1.725
1210,1.775
1214,1.744
1218,1.735
1222,1.745
1226,1.754
1230,1.753
1234,1.745
1238,1.733
1242,1.74
1246,1.757
1250,1.725
1254,1.732
1258,1.725
1262,1.739
1266,1.74
1270,1.733
1275,1.749
1279,1.752
1283,1.732
1287,1.732
1296,1.715
1301,1.723
1305,1.725
1309,1.737
1313,1.731
1317,1.759
1321,1.737
1325,1.709
1329,1.73
1333,1.765
1337,1.738
1341,1.721
1345,1.744
1349,1.762
1353,1.739
1357,1.72
1361,1.754
1365,1.749
1369,1.737
1373,1.726
1377,1.752
1381,1.747
1385,1.736
1389,1.733
1393,1.751
1397,1.722
1401,1.734
1405,1.731
1409,1.753
1413,1.737
1417,1.749
1426,1.725
1431,1.759
1435,1.753
1439,1.741
1443,1.766
1447,1.758
1451,1.729
1455,1.737
1459,1.76
1463,1.738
1467,1.739
1471,1.724
1475,1.751
1480,1.735
1484,1.731
1488,1.738
1492,1.76
1496,1.747
1500,1.72
1504,1.742
1508,1.757
1512,1.742
1516,1.732
1520,1.736
1524,1.758
1528,1.767
1532,1.738
1536,1.739
1541,1.758
1545,1.76
1549,1.742
1558,1.738
1563,1.721
1567,1.72
1571,1.749
1575,1.758
1579,1.74
1583,1.713
1587,1.733
1591,1.754
1594,1.733
1598,1.716
1602,1.741
1606,1.763
1609,1.74
1614,1.707
1617,1.733
1621,1.762
1625,1.757
1629,1.73
1632,1.738
1636,1.775
1640,1.734
1644,1.716
1651,1.74
1655,1.767
1659,1.73
1662,1.727
1666,1.749
1670,1.739
1674,1.726
1680,1.735
1684,1.725
1688,1.733
1691,1.731
1695,1.766
1699,1.756
1703,1.748
1706,1.74
1710,1.766
1714,1.759
1718,1.73
1722,1.734
1726,1.76
1730,1.742
1734,1.728
1738,1.737
1742,1.761
1746,1.75
1750,1.729
1754,1.741
1758,1.769
1762,1.75
1766,1.745
1771,1.724
1775,1.743
1778,1.768
1783,1.748
1787,1.76
1791,1.733
1795,1.738
1799,1.75
1807,1.745
1812,1.725
1816,1.745
1820,1.75
1824,1.723
1828,1.737
1832,1.747
1836,1.737
1840,1.729
1844,1.716
1848,1.744
1852,1.751
1856,1.733
1860,1.722
1864,1.743
1868,1.754
1872,1.753
1877,1.716
1880,1.733
1885,1.77
1889,1.766
1893,1.729
1897,1.74
1901,1.768
1905,1.75
1909,1.734
1913,1.742
1917,1.757
1921,1.735
1925,1.718
1929,1.75
1939,1.762
1944,1.724
1948,1.728
1951,1.741
1955,1.736
1960,1.768
1964,1.755
1967,1.752
1972,1.735
1976,1.779
1980,1.754
1984,1.727
1988,1.739
1992,1.769
1996,1.726
1999,1.741
2004,1.761
2008,1.724
2012,1.717
2016,1.763
2020,1.752
2024,1.729
2028,1.74
2032,1.758
2036,1.732
2040,1.738
2044,1.747
2048,1.741
2052,1.739
2057,1.737
2061,1.755
2070,1.731
2075,1.728
2079,1.727
2083,1.734
2087,1.75
2091,1.752
2095,1.741
2099,1.733
2103,1.756
2107,1.747
2112,1.727
2116,1.745
2119,1.758
2124,1.747
2128,1.724
2132,1.747
2136,1.759
2140,1.716
2144,1.739
2148,1.763
2152,1.736
2156,1.731
2160,1.752
2164,1.738
2167,1.716
2172,1.732
2176,1.758
2179,1.75
2183,1.735
2187,1.766
2191,1.728
2201,1.721
2205,1.729
2209,1.753
2213,1.758
2217,1.755
2220,1.717
2225,1.75
2228,1.763
2232,1.742
2236,1.735
2240,1.751
2243,1.743
2247,1.721
2251,1.756
2254,1.758
2258,1.731
2262,1.736
2265,1.758
2269,1.74
2273,1.727
2277,1.774
2280,1.725
2284,1.741
2288,1.779
2292,1.741
2296,1.721
2300,1.76
2304,1.742
2308,1.744
2312,1.745
2316,1.738
2325,1.736
2329,1.746
2333,1.758
2338,1.735
2341,1.729
2345,1.72
2349,1.754
2353,1.752
2357,1.766
2361,1.736
2365,1.756
2369,1.758
2373,1.767
2377,1.721
2381,1.73
2385,1.749
2389,1.742
2393,1.718
2397,1.729
2401,1.77
2405,1.725
2409,1.724
2413,1.733
2417,1.767
2421,1.745
2425,1.747
2429,1.73
2433,1.77
2437,1.767
2441,1.745
2445,1.74
2454,1.752
2459,1.755
2463,1.757
2467,1.742
2471,1.748
2475,1.737
2479,1.723
2483,1.783
2487,1.737
2491,1.717
2495,1.749
2499,1.779
2503,1.737
2506,1.741
2510,1.754
2514,1.716
2518,1.747
2522,1.762
2526,1.716
2530,1.743
2534,1.758
2538,1.712
2542,1.739
2546,1.762
2550,1.72
2554,1.728
2558,1.758
2562,1.756
2566,1.732
2570,1.742
2574,1.724
2583,1.741
2588,1.774
2592,1.758
2596,1.752
2600,1.745
2604,1.746
2608,1.736
2612,1.738
2616,1.732
2620,1.753
2624,1.726
2628,1.735
2632,1.751
2636,1.719
2640,1.727
2644,1.762
2648,1.76
2652,1.729
2656,1.73
2659,1.775
2663,1.745
2668,1.72
2672,1.743
2675,1.752
2679,1.759
2683,1.725
2687,1.764
2691,1.76
2695,1.729
2699,1.737
2703,1.767
2713,1.77
2717,1.723
2721,1.714
2724,1.733
2728,1.739
2732,1.746
2736,1.724
2739,1.728
2743,1.739
2747,1.732
2750,1.74
2754,1.726
2758,1.745
2761,1.75
2765,1.733
2769,1.732
2773,1.753
2776,1.736
2780,1.723
2784,1.769
2788,1.77
2792,1.728
2795,1.733
2799,1.758
2803,1.73
2807,1.755
2810,1.762
2814,1.703
2818,1.731
2822,1.766
2825,1.762
2834,1.738
2839,1.76
2842,1.775
2846,1.759
2850,1.735
2854,1.738
2858,1.741
2862,1.734
2866,1.745
2870,1.762
2874,1.731
2878,1.734
2882,1.762
2886,1.747
2890,1.737
2894,1.747
2898,1.741
2902,1.733
2906,1.73
2910,1.75
2914,1.739
2918,1.737
2922,1.724
2926,1.74
2930,1.753
2934,1.736
2939,1.727
2943,1.751
2947,1.77
2950,1.744
2955,1.741
2964,1.757
2969,1.738
2973,1.76
2977,1.738
2981,1.729
2985,1.728
2989,1.741
2993,1.732
2997,1.738
3001,1.733
3005,1.727
3009,1.733
3013,1.769
3017,1.758
3021,1.754
3025,1.726
3029,1.733
3033,1.751
3037,1.719
3041,1.741
3045,1.759
3049,1.73
3053,1.749
3057,1.762
3062,1.725
3065,1.737
3069,1.756
3074,1.727
3078,1.749
3082,1.769
3085,1.711
3095,1.745
3100,1.759
3104,1.758
3108,1.749
3112,1.737
3116,1.733
3120,1.748
3124,1.719
3128,1.761
3132,1.737
3136,1.724
3140,1.776
3144,1.735
3148,1.734
3152,1.768
3156,1.738
3160,1.736
3164,1.756
3168,1.741
3172,1.734
3176,1.745
3180,1.78
3184,1.721
3188,1.744
3192,1.764
3197,1.718
3201,1.73
3205,1.746
3209,1.736
3213,1.74
3217,1.761
3227,1.734
3232,1.731
3236,1.744
3240,1.728
3244,1.748
3248,1.748
3252,1.733
3256,1.733
3260,1.753
3265,1.747
3269,1.74
3273,1.738
3277,1.742
3281,1.741
3285,1.737
3289,1.74
3293,1.737
3297,1.75
3301,1.74
3305,1.737
3309,1.743
3313,1.764
3317,1.754
3321,1.762
3325,1.728
3329,1.77
3333,1.749
3337,1.739
3341,1.73
3345,1.754
3349,1.753
3370,1.727
3418,1.737
3422,1.712
3426,1.721
3429,1.758
3433,1.745
3437,1.744
3441,1.72
3445,1.748
3449,1.771
3453,1.739
3456,1.727
3460,1.732
3464,1.756
3468,1.759
3472,1.737
3476,1.769
3480,1.75
3484,1.72
3488,1.733
3492,1.785
3496,1.761
3500,1.724
3504,1.726
3509,1.766
3513,1.74
3517,1.715
3521,1.725
3525,1.738
3529,1.762
3533,1.769
3537,1.704
3548,1.74
3552,1.743
3556,1.744
3560,1.716
3564,1.743
3568,1.765
3572,1.741
3577,1.723
3581,1.754
3585,1.77
3589,1.737
3593,1.744
3597,1.751
3601,1.738
3605,1.749
3609,1.728
3613,1.725
3617,1.741
3621,1.753
3625,1.75
3629,1.745
3633,1.738
3637,1.757
3641,1.747
3645,1.748
3649,1.743
3653,1.721
3657,1.762
3661,1.735
3665,1.723
3669,1.751
3679,1.725
3683,1.741
3687,1.774
3691,1.744
3695,1.72
3699,1.767
3703,1.738
3707,1.738
3711,1.741
3715,1.737
3719,1.728
3723,1.745
3727,1.756
3731,1.726
3735,1.742
3739,1.752
3743,1.748
3747,1.732
3751,1.76
3755,1.736
3759,1.723
3763,1.762
3767,1.721
3771,1.745
3775,1.766
3779,1.745
3783,1.725
3787,1.742
3792,1.775
3796,1.729
3800,1.732
3810,1.745
3814,1.758
3818,1.725
3822,1.71
3826,1.737
3830,1.759
3834,1.729
3838,1.742
3843,1.731
3847,1.762
3851,1.729
3855,1.736
3859,1.725
3863,1.761
3867,1.735
3871,1.729
3876,1.722
3880,1.772
3884,1.73
3888,1.725
3892,1.743
3896,1.737
3900,1.73
3904,1.75
3909,1.756
3912,1.733
3916,1.725
3920,1.746
3924,1.743
3928,1.736
3932,1.731
3941,1.747
3946,1.751
3949,1.732
3953,1.725
3957,1.751
3961,1.731
3965,1.741
3969,1.727
3972,1.745
3976,1.754
3980,1.741
3984,1.721
3988,1.724
3992,1.754
3996,1.744
4000,1.729
4004,1.747
4008,1.754
4012,1.746
4015,1.717
4019,1.763
4023,1.731
4027,1.729
4031,1.758
4035,1.739
4039,1.723
4043,1.781
4046,1.747
4051,1.709
4055,1.728
4059,1.777
4065,1.725
4070,1.728
4074,1.728
4078,1.766
4082,1.726
4087,1.716
4091,1.747
4095,1.769
4099,1.743
4103,1.723
4108,1.742
4112,1.761
4116,1.745
4120,1.74
4124,1.739
4128,1.749
4132,1.747
4136,1.744
4141,1.721
4145,1.741
4149,1.743
4153,1.721
4157,1.753
4161,1.775
4165,1.737
4169,1.721
4174,1.728
4178,1.756
4182,1.771
4186,1.75
4190,1.741
4199,1.729
4203,1.765
4207,1.763
4211,1.731
4215,1.731
4219,1.735
4223,1.754
4227,1.742
4231,1.731
4235,1.747
4239,1.741
4243,1.735
4247,1.737
4251,1.746
4255,1.749
4259,1.753
4263,1.736
4267,1.74
4271,1.737
4275,1.729
4278,1.731
4282,1.748
4286,1.736
4290,1.764
4294,1.753
4298,1.719
4302,1.75
4306,1.76
4310,1.766
4314,1.725
4318,1.737
4328,1.75
4332,1.741
4336,1.739
