Time_ms,V1
449,1.758
706,1.777
912,1.741
917,1.723
921,1.737
925,1.729
929,1.732
933,1.758
937,1.798
941,1.756
945,1.726
949,1.733
953,1.766
957,1.754
961,1.742
965,1.779
969,1.746
973,1.719
977,1.728
981,1.762
985,1.713
989,1.727
993,1.747
997,1.749
1001,1.718
1005,1.729
1009,1.742
1013,1.715
1016,1.717
1020,1.72
1024,1.75
1028,1.717
1032,1.746
1040,1.721
1045,1.743
1050,1.75
1054,1.775
1057,1.734
1061,1.75
1065,1.776
1069,1.734
1073,1.754
1077,1.782
1081,1.708
1085,1.744
1089,1.762
1092,1.737
1096,1.718
1100,1.74
1103,1.766
1107,1.724
1111,1.714
1115,1.757
1118,1.748
1122,1.766
1126,1.755
1129,1.711
1133,1.736
1137,1.743
1141,1.725
1144,1.754
1148,1.716
1152,1.758
1156,1.784
1165,1.758
1170,1.73
1174,1.737
1178,1.737
1182,1.77
1186,1.792
1190,1.729
1194,1.75
1198,1.798
1202,1.718
1206,1.762
1210,1.744
1214,1.727
1218,1.716
1222,1.719
1226,1.748
1230,1.731
1234,1.749
1238,1.753
1242,1.794
1246,1.745
1250,1.704
1254,1.788
1258,1.775
1262,1.784
1266,1.713
1270,1.761
1275,1.738
1279,1.715
1283,1.717
1287,1.764
1296,1.761
1301,1.736
1305,1.725
1309,1.756
1313,1.731
1317,1.721
1321,1.708
1325,1.768
1329,1.724
1333,1.717
1337,1.71
1341,1.722
1345,1.756
1349,1.764
1353,1.769
1357,1.762
1361,1.72
1365,1.717
1369,1.716
1373,1.762
1377,1.764
1381,1.783
1385,1.762
1389,1.707
1393,1.75
1397,1.714
1401,1.733
1405,1.766
1409,1.763
1413,1.765
1417,1.789
1426,1.752
1431,1.758
1435,1.744
1439,1.763
1443,1.696
1447,1.733
1451,1.752
1455,1.723
1459,1.778
1463,1.75
1467,1.723
1471,1.723
1475,1.73
1480,1.751
1484,1.731
1488,1.72
1492,1.78
1496,1.74
1500,1.775
1504,1.704
1508,1.788
1512,1.721
1516,1.716
1520,1.758
1524,1.737
1528,1.737
1532,1.739
1536,1.759
1541,1.738
1545,1.737
1549,1.74
1558,1.73
1563,1.715
1567,1.733
1571,1.77
1575,1.745
1579,1.708
1583,1.764
1587,1.766
1591,1.716
1594,1.779
1598,1.751
1602,1.692
1606,1.74
1609,1.77
1614,1.733
1617,1.706
1621,1.731
1625,1.736
1629,1.732
1632,1.741
1636,1.741
1640,1.766
1644,1.756
1651,1.741
1655,1.706
1659,1.736
1662,1.753
1666,1.783
1670,1.754
1674,1.72
1680,1.71
1684,1.747
1688,1.766
1691,1.77
1695,1.745
1699,1.74
1703,1.706
1706,1.723
1710,1.778
1714,1.736
1718,1.76
1722,1.733
1726,1.758
1730,1.748
1734,1.754
1738,1.765
1742,1.757
1746,1.77
1750,1.736
1754,1.722
1758,1.745
1762,1.744
1766,1.799
1771,1.744
1775,1.73
1778,1.702
1783,1.75
1787,1.724
1791,1.733
1795,1.728
1799,1.749
1807,1.741
1812,1.774
1816,1.769
1820,1.745
1824,1.696
1828,1.75
1832,1.772
1836,1.75
1840,1.754
1844,1.71
1848,1.703
1852,1.755
1856,1.789
1860,1.736
1864,1.725
1868,1.736
1872,1.766
1877,1.761
1880,1.758
1885,1.704
1889,1.742
1893,1.792
1897,1.765
1901,1.72
1905,1.725
1909,1.744
1913,1.732
1917,1.768
1921,1.759
1925,1.704
1929,1.746
1939,1.753
1944,1.753
1948,1.762
1951,1.776
1955,1.718
1960,1.745
1964,1.728
1967,1.778
1972,1.748
1976,1.736
1980,1.733
1984,1.71
1988,1.746
1992,1.738
1996,1.7
1999,1.689
2004,1.718
2008,1.759
2012,1.781
2016,1.733
2020,1.762
2024,1.767
2028,1.729
2032,1.719
2036,1.759
2040,1.783
2044,1.772
2048,1.74
2052,1.75
2057,1.722
2061,1.733
2070,1.689
2075,1.759
2079,1.761
2083,1.699
2087,1.709
2091,1.756
2095,1.751
2099,1.736
2103,1.757
2107,1.712
2112,1.771
2116,1.75
2119,1.741
2124,1.722
2128,1.751
2132,1.774
2136,1.704
2140,1.751
2144,1.729
2148,1.728
2152,1.747
2156,1.793
2160,1.747
2164,1.729
2167,1.734
2172,1.734
2176,1.775
2179,1.746
2183,1.737
2187,1.718
2191,1.754
2201,1.806
2205,1.759
2209,1.737
2213,1.727
2217,1.743
2220,1.735
2225,1.76
2228,1.751
2232,1.745
2236,1.7
2240,1.723
2243,1.751
2247,1.732
2251,1.735
2254,1.721
2258,1.756
2262,1.748
2265,1.763
2269,1.757
2273,1.708
