Time_ms,V1
449,1.766
706,1.751
912,1.727
917,1.756
921,1.747
925,1.766
929,1.73
933,1.766
937,1.713
941,1.756
945,1.731
949,1.728
953,1.748
957,1.693
961,1.762
965,1.725
969,1.765
973,1.725
977,1.726
981,1.74
985,1.735
989,1.748
993,1.709
997,1.767
1001,1.733
1005,1.755
1009,1.733
1013,1.749
1016,1.746
1020,1.737
1024,1.762
1028,1.735
1032,1.758
1040,1.726
1045,1.748
1050,1.754
1054,1.75
1057,1.747
1061,1.758
1065,1.735
1069,1.743
1073,1.766
1077,1.727
1081,1.745
1085,1.721
1089,1.787
1092,1.728
1096,1.744
1100,1.73
1103,1.754
1107,1.735
1111,1.748
1115,1.721
1118,1.774
1122,1.745
1126,1.744
1129,1.729
1133,1.734
1137,1.754
1141,1.724
1144,1.751
1148,1.766
1152,1.758
1156,1.721
1165,1.766
1170,1.715
1174,1.775
1178,1.734
1182,1.754
1186,1.729
1190,1.749
1194,1.729
1198,1.741
1202,1.761
1206,1.718
1210,1.776
1214,1.693
1218,1.748
1222,1.724
1226,1.755
1230,1.724
1234,1.748
1238,1.76
1242,1.73
1246,1.737
1250,1.731
1254,1.737
1258,1.743
1262,1.748
1266,1.725
1270,1.745
1275,1.732
1279,1.745
1283,1.73
1287,1.739
1296,1.723
1301,1.748
1305,1.729
1309,1.738
1313,1.742
1317,1.75
1321,1.727
1325,1.729
1329,1.737
1333,1.759
1337,1.739
1341,1.74
1345,1.739
1349,1.753
1353,1.747
1357,1.756
1361,1.736
1365,1.748
1369,1.74
1373,1.766
1377,1.726
1381,1.746
1385,1.73
1389,1.75
1393,1.721
1397,1.733
1401,1.726
1405,1.741
1409,1.726
1413,1.741
1417,1.733
1426,1.758
1431,1.729
1435,1.75
1439,1.749
1443,1.733
1447,1.76
1451,1.725
1455,1.742
1459,1.754
1463,1.725
1467,1.725
1471,1.722
1475,1.758
1480,1.733
1484,1.757
1488,1.736
1492,1.741
1496,1.733
1500,1.745
1504,1.758
1508,1.745
1512,1.738
1516,1.717
1520,1.734
1524,1.71
1528,1.758
1532,1.729
1536,1.735
1541,1.744
1545,1.738
1549,1.747
1558,1.724
1563,1.75
1567,1.715
1571,1.78
1575,1.733
1579,1.75
1583,1.731
1587,1.751
1591,1.751
1594,1.726
1598,1.739
1602,1.733
1606,1.746
1609,1.743
1614,1.748
1617,1.741
1621,1.753
1625,1.734
1629,1.751
1632,1.75
1636,1.748
1640,1.742
1644,1.756
1651,1.751
1655,1.745
1659,1.737
1662,1.741
1666,1.748
1670,1.749
1674,1.73
1680,1.725
1684,1.728
1688,1.76
1691,1.717
1695,1.735
1699,1.747
1703,1.746
1706,1.752
1710,1.738
1714,1.748
1718,1.764
1722,1.762
1726,1.729
1730,1.75
1734,1.72
1738,1.772
1742,1.727
1746,1.764
1750,1.725
1754,1.731
1758,1.734
1762,1.739
1766,1.75
1771,1.733
1775,1.762
1778,1.721
1783,1.756
1787,1.722
1791,1.762
1795,1.736
1799,1.76
1807,1.723
1812,1.773
1816,1.731
1820,1.772
1824,1.745
1828,1.739
1832,1.739
1836,1.77
1840,1.731
1844,1.767
1848,1.716
1852,1.771
1856,1.725
1860,1.765
1864,1.732
1868,1.739
1872,1.733
1877,1.77
1880,1.729
1885,1.774
1889,1.737
1893,1.759
1897,1.739
1901,1.772
1905,1.743
1909,1.774
1913,1.744
1917,1.729
1921,1.743
1925,1.741
1929,1.732
1939,1.742
1944,1.742
1948,1.733
1951,1.731
1955,1.734
1960,1.763
1964,1.746
1967,1.75
1972,1.734
1976,1.745
1980,1.729
1984,1.752
1988,1.745
1992,1.755
1996,1.729
1999,1.741
2004,1.737
2008,1.743
2012,1.739
2016,1.735
2020,1.729
2024,1.734
2028,1.74
2032,1.752
2036,1.731
2040,1.754
2044,1.739
2048,1.755
2052,1.747
2057,1.747
2061,1.731
2070,1.751
2075,1.743
2079,1.741
2083,1.737
2087,1.755
2091,1.741
2095,1.737
